,age,gender,height,weight,waist_size,blood_pressure,heart_rate,cholesterol,glucose,insulin,sleep_hours,sleep_quality,work_hours,physical_activity,daily_steps,calorie_intake,sugar_intake,smoking_level,water_intake,screen_time,stress_level,mental_health_score,mental_health_support,education_level,job_type,occupation,income,diet_type,device_usage,healthcare_access,insurance,sunlight_exposure,meals_per_day,family_history,pet_owner,electrolyte_level,gene_marker_flag,environmental_risk_score,target
age,1.0,0.0001241926583732684,-0.00720747738642911,0.0031793331207374464,-0.006346905890998042,0.004826698304961611,-0.005409376483051023,0.005709979535349602,-0.0009541424907471529,-0.0013335718363021542,0.0019291261914600503,0.0010538411744530729,0.0015853842527151875,-0.0026726128243956845,0.0007869023167333809,-0.002864411524784327,-0.0009259524220513418,0.0028538828690162724,0.00272771630878106,-0.006106456183100977,0.001292673153463491,0.0018686133717622135,0.005722934034587348,0.004237114203771311,-0.005771490861032602,0.002135553791571258,0.002440032608085767,-0.0004563735234749944,0.00030565423839031745,-0.0004884631275461224,-0.002810082555861979,-0.0030519312900386193,-0.001709763078240517,0.0005798403167623739,0.001611236232275292,,,,-0.006951084854237443
gender,0.0001241926583732684,1.0,0.002336625374701485,-0.0051033857373277616,0.004161463475445849,-0.0012634040320938505,0.0017169099332956755,-0.0014072777880525145,-0.004243852947643142,-0.001750355539695734,0.0027971383041500634,-0.0046644539820885345,-0.0005877292392886909,0.0007124074509791101,-0.004291525398578122,0.0031446179234141626,-0.002889214493937342,0.0011351484556200253,-0.0031346646974179915,0.0026669449030080226,0.005116426609816645,-3.5508236691610416e-05,-0.0029145252612411622,0.0022365643510915537,-0.0013329672505921159,0.003211191176350118,-0.0004773004497781775,0.003251607274205165,0.0011237609479218373,-0.0005460987255442215,-0.00074639358662218,0.004279026619507251,0.007240295560899219,0.0034171099753106285,-0.003691951750695792,,,,0.0009161433502099905
height,-0.00720747738642911,0.002336625374701485,1.0,-0.0030225562525022062,0.0012606464081896074,0.0014468591107159008,-0.006462321508907339,0.0007035178892296149,-0.0030799982491395966,-0.0030567305938670273,-0.00874409169213147,-0.0008605469320595786,-0.0010203521745439066,-0.005063668598882644,0.001852071390291655,-0.004329684335834176,-0.004021054582335579,0.0015483200008208978,0.006331332411383791,-0.0027117467625353033,-0.0064004482614824455,0.0008034300635262261,-0.00025317901336059266,-0.0013242272411830563,-0.0020861083861976565,-0.002260600546142532,-0.0059652022164777335,-0.0033579783539315474,0.0045447330347729445,-0.004354987852288145,-0.005477213862371725,-0.0047021591284506885,0.002371959248488909,-0.003351421945987575,7.51614125908807e-05,,,,0.0013996745677445296
weight,0.0031793331207374464,-0.0051033857373277616,-0.0030225562525022062,1.0,0.005047523904186202,0.0028728419676475768,-0.0019618537542566367,-0.000324334243278177,0.002119652419309597,0.0033733887076697047,0.004969898345442279,-0.0006612071571991772,-0.0048993057216922325,0.0017491890222185893,-0.004763633228035636,0.0038552583256626035,0.0032068450472503805,0.00014934155635428335,0.0055864322238306525,0.00012610228891008662,0.00048705263278569095,-0.004956172136928398,-0.0008554696764232031,-0.0016420433059274706,0.001565038743770112,-0.00017747077349744152,0.002853289805456305,-0.0007985611650206579,0.0017516036571073557,0.0030864949321767017,0.0010488544341671535,0.0008566626774279346,-0.0043817751229590605,-0.0025857105744625415,0.004096606924306904,,,,-0.0024778212029552237
waist_size,-0.006346905890998042,0.004161463475445849,0.0012606464081896074,0.005047523904186202,1.0,0.0015196343525678661,0.001697076362262455,-0.0012487943395410855,-0.0015207578236099174,-0.006684562290134044,-0.0004730532597840837,-0.00497202785266432,0.002781930658802755,0.002942705162092852,0.002377803617778659,-0.001388119501947221,0.00016937583545514166,0.005167246869302418,-0.003736724722309069,-0.0025679249099089347,-0.0004806459568718101,-0.001441499887786247,0.0003983631148278508,0.003073351129313723,-0.0012977268665145464,-0.0007886122379410279,0.00352628903541224,-0.0035033491309529826,-0.004558186787836572,0.006868360908020052,0.0052338045397515446,0.004298652292394543,-0.002787053259303815,-0.002602959429464103,-0.002011741656214014,,,,-0.00031678681072954307
blood_pressure,0.004826698304961611,-0.0012634040320938505,0.0014468591107159008,0.0028728419676475768,0.0015196343525678661,1.0,-0.0020238182742285797,0.0007119765474535837,0.002680072610512848,0.0036982481770627255,0.00045475531990092914,0.004273055503022503,0.004376481149952011,-0.0013104971227605477,-0.0006371295341272965,0.0014753681381634658,-0.007451724543481831,0.0037046883331733416,0.0007287385734829128,0.006496042357049311,-0.0017291387141748792,-0.0006494596955323446,0.004537909584994341,0.003556858135011387,-0.0011562183200601699,-0.00019704442429703092,-0.0030651251267296083,-0.003217273012319727,0.0006206307848421316,0.003299205124123177,0.0011199079719450321,0.0021321905346658597,0.001184931217493911,-0.0008756533117610587,-0.000988704389805112,,,,0.0027642442620145753
heart_rate,-0.005409376483051023,0.0017169099332956755,-0.006462321508907339,-0.0019618537542566367,0.001697076362262455,-0.0020238182742285797,1.0,-0.0006057914389918804,-0.001157892856798169,0.00043918835673000434,-0.0031786262628621066,0.0022499359264009085,-0.002612680012465846,0.0021833770815144656,-0.0055132188213083185,0.0046093478790943014,0.00016135960904648937,0.0017130836264376763,0.0007918146424569669,0.0015170358044197573,-0.002479697401498327,0.0035361503885598614,-0.0009954430578693592,-0.0035607091650772635,0.001528473049357244,-0.0011575505162664285,-0.0017257410147706407,-3.0288762633474562e-05,0.005041665698390819,-0.0006063222297395543,-0.0016230070696736962,0.0021345058162609135,-0.0009137703710932135,0.003423066996803252,0.006229483777519961,,,,7.843716047441576e-05
cholesterol,0.005709979535349602,-0.0014072777880525145,0.0007035178892296149,-0.000324334243278177,-0.0012487943395410855,0.0007119765474535837,-0.0006057914389918804,1.0,-0.0027682305138715083,0.005559220407521654,-0.0022455194631519973,-0.0009068332304760341,0.0032621400320684037,-0.0016469227409063943,-0.0005197197474893767,-0.0016414242610296535,-0.0005244489746972994,-0.006826817382872275,0.004550471796494245,-1.3280068556918644e-05,-0.00013336212731871662,0.0003257003703944047,0.0051887154871266255,0.004684790174345357,-0.003161736957329446,-1.9502636487739088e-05,0.0031559948952232055,0.0001054405772745117,-0.0014130963959015517,-0.002531192981233083,-0.0005575330248782433,0.0008664736653014074,-0.002005747006763244,0.004357440240459699,0.0031860831799076237,,,,-0.0014669146143393048
glucose,-0.0009541424907471529,-0.004243852947643142,-0.0030799982491395966,0.002119652419309597,-0.0015207578236099174,0.002680072610512848,-0.001157892856798169,-0.0027682305138715083,1.0,-0.0021168901554394506,-0.0037346077344782907,0.001991298103660286,-0.00277864787299434,0.0035545545464156325,-0.00028336193663992565,-0.006064785791241059,-0.001223130589786828,-0.00044037183642055874,0.0022597565109940634,-0.0009184016981321838,0.0012870247596340147,-0.005730488015833451,-0.001462440740122062,-0.0028117072553556287,-0.0009729927261583399,-0.0060734564798628835,-0.0017941326545343969,-0.00040614651067958187,-0.00428475035427693,0.00595495487934555,-0.00016375549643027096,-0.0011812567840620927,0.0013453418342991704,0.0019875107941411158,-0.004384777322796783,,,,-0.0005246422809950201
insulin,-0.0013335718363021542,-0.001750355539695734,-0.0030567305938670273,0.0033733887076697047,-0.006684562290134044,0.0036982481770627255,0.00043918835673000434,0.005559220407521654,-0.0021168901554394506,1.0,0.00042764965220666893,0.0013873095610075887,-0.000930235085104122,0.0012258494602697336,-0.00016135784723612272,0.003637212983536873,0.0016406299420594688,0.0006686858596131397,0.0019391664303222951,-0.005066850662189397,-0.0037924943080241743,0.0005210939752911212,0.0045844279675201684,-0.0022777377530634486,0.00028796446365338764,-0.004356875731207531,0.00211456080775297,0.0021549542695464136,0.00015168950261565089,-0.003275858552342663,0.003158740731212188,0.0006936784910400782,-0.002145791871843531,-0.0026639404606541794,-0.0024724247282797217,,,,-0.0003385976041028804
sleep_hours,0.0019291261914600503,0.0027971383041500634,-0.00874409169213147,0.004969898345442279,-0.0004730532597840837,0.00045475531990092914,-0.0031786262628621066,-0.0022455194631519973,-0.0037346077344782907,0.00042764965220666893,1.0,-0.002791287037576415,-0.004088647209370624,7.482415959856287e-05,-0.00012374088698447405,0.001063845876180176,0.0037960041912022467,0.0009155595272089901,0.0009386917028447305,0.005540444702681121,-0.0017252252094434478,-0.0019910764000544245,-0.000489054778344151,0.005781961256268147,0.0016812356894807955,-0.0010807154733269459,0.0006234087843321707,-0.003855550501782097,0.0060514075402827465,-0.0015020598609909734,-0.002401825278599235,0.0006697322316484789,-0.0017860758276399126,-0.002023379887399749,-0.0008489520698989336,,,,-0.0017116605842931777
sleep_quality,0.0010538411744530729,-0.0046644539820885345,-0.0008605469320595786,-0.0006612071571991772,-0.00497202785266432,0.004273055503022503,0.0022499359264009085,-0.0009068332304760341,0.001991298103660286,0.0013873095610075887,-0.002791287037576415,1.0,0.007051512080029996,0.008201813275375515,0.0022770633951015957,-0.0012710552978440718,0.0014254221828376757,0.0006052652870627446,0.0032098603734034776,0.0010862785098980329,0.00406854523639966,0.0010048466423526097,0.0003680082492607396,-0.004794658050768339,-0.007640319372175477,-0.0004165452340928079,0.0016042195675682056,-0.004944316933345121,-0.0018944657253761909,0.0038360172045288385,0.00017960318530180723,-0.0003885241047031321,-0.004738321581412038,-2.257133423210614e-05,0.00033731619178080147,,,,-0.0022666159719087046
work_hours,0.0015853842527151875,-0.0005877292392886909,-0.0010203521745439066,-0.0048993057216922325,0.002781930658802755,0.004376481149952011,-0.002612680012465846,0.0032621400320684037,-0.00277864787299434,-0.000930235085104122,-0.004088647209370624,0.007051512080029996,1.0,0.0052242983195089875,-0.003291473860050511,0.0009726969724685725,0.008453877286244261,-0.006341350142336621,0.0002488638452752225,0.00017999666972840802,-0.0030303941965309526,-0.0056900229109912,0.003940568239002372,-0.0004595858411863992,-0.00029746779947314127,-0.005564732127791244,4.8073838600868216e-05,0.0002166071040658662,-0.002701767260905265,-0.0012724963834413803,0.0006604791506727531,-0.0006000511868546093,-0.004172082211966679,0.002423996319149007,0.0033111696091707374,,,,0.011072886471801203
physical_activity,-0.0026726128243956845,0.0007124074509791101,-0.005063668598882644,0.0017491890222185893,0.002942705162092852,-0.0013104971227605477,0.0021833770815144656,-0.0016469227409063943,0.0035545545464156325,0.0012258494602697336,7.482415959856287e-05,0.008201813275375515,0.0052242983195089875,1.0,0.0016509349471097725,0.0013131969957440668,-0.00363067163197917,-0.0033325219771024816,0.003623315235734504,-0.0006074744848011191,-0.004384095164311026,-0.0007411461364986196,-0.0018949426354895602,0.003599877073786687,0.001350843969756877,-0.005661542779685608,0.0012753065601837038,0.003982652422672523,-0.006195592096148748,0.0004748065872282718,-0.006477658683561296,0.004438735843340648,0.0007028751681549713,0.004973590324968076,0.0014727732427690999,,,,0.0013278559527816222
daily_steps,0.0007869023167333809,-0.004291525398578122,0.001852071390291655,-0.004763633228035636,0.002377803617778659,-0.0006371295341272965,-0.0055132188213083185,-0.0005197197474893767,-0.00028336193663992565,-0.00016135784723612272,-0.00012374088698447405,0.0022770633951015957,-0.003291473860050511,0.0016509349471097725,1.0,0.0012657279568564924,-0.001146957993137277,-0.0019034105470820356,0.000899083933234837,0.0009926086549356442,0.004006982561721896,0.005307666402477354,0.0011978718276622737,0.0023010650040170195,-0.0027744511041476187,0.002166445776142847,0.0026198848125159628,-0.0012203265743960861,-0.0005604718089340514,0.005837474276301829,0.0005517032477137027,-0.003893887473822577,-0.0023429479300828247,6.583383281752653e-05,-0.0006683890861368801,,,,0.004855961341661402
calorie_intake,-0.002864411524784327,0.0031446179234141626,-0.004329684335834176,0.0038552583256626035,-0.001388119501947221,0.0014753681381634658,0.0046093478790943014,-0.0016414242610296535,-0.006064785791241059,0.003637212983536873,0.001063845876180176,-0.0012710552978440718,0.0009726969724685725,0.0013131969957440668,0.0012657279568564924,1.0,0.002629358570496011,-0.0008232008199767498,-0.002019507824019552,-0.0027566566192141193,-0.004023342028165216,0.0028149183058966904,0.002673673824875942,0.0021616002732225037,-0.0038524515119399277,0.004847401324031228,0.003030767768409867,0.0035856321057378794,-0.004340635164302636,0.00012343904202698954,-0.0011112484674788475,0.0027666035371355802,-0.0041852698836736665,-0.007725159022875998,0.00625981644744202,,,,0.00018100808469276297
sugar_intake,-0.0009259524220513418,-0.002889214493937342,-0.004021054582335579,0.0032068450472503805,0.00016937583545514166,-0.007451724543481831,0.00016135960904648937,-0.0005244489746972994,-0.001223130589786828,0.0016406299420594688,0.0037960041912022467,0.0014254221828376757,0.008453877286244261,-0.00363067163197917,-0.001146957993137277,0.002629358570496011,1.0,0.0014230444344027222,-0.0021086748747350652,0.002335183388552868,0.001459786834790433,-0.0028090150188655,-0.0015474559463647857,-0.003415591212426189,0.002665139980344194,0.00036273596299396234,-0.0019309744486847703,-0.005057493496413193,0.004560664626504927,0.0007511235743186459,0.003810221665984566,0.004003743867461263,-0.0025099150722411316,-0.0013662937318496252,-0.0009118346963952254,,,,0.00021332473849899113
smoking_level,0.0028538828690162724,0.0011351484556200253,0.0015483200008208978,0.00014934155635428335,0.005167246869302418,0.0037046883331733416,0.0017130836264376763,-0.006826817382872275,-0.00044037183642055874,0.0006686858596131397,0.0009155595272089901,0.0006052652870627446,-0.006341350142336621,-0.0033325219771024816,-0.0019034105470820356,-0.0008232008199767498,0.0014230444344027222,1.0,0.003285575444410376,0.001116106353074799,6.307167452130626e-05,0.002445472305108513,0.0035215149273762803,0.000659798407709637,-0.005318557122483125,-0.00034411870781338676,-0.004267169693801412,0.003611858069330346,-0.001612544545877851,-0.0008670987083588955,0.0005472063918318896,0.003958965330719353,0.0021761807156876114,-0.002343070779866533,-0.0018943307529224406,,,,0.0015783945103773076
water_intake,0.00272771630878106,-0.0031346646974179915,0.006331332411383791,0.0055864322238306525,-0.003736724722309069,0.0007287385734829128,0.0007918146424569669,0.004550471796494245,0.0022597565109940634,0.0019391664303222951,0.0009386917028447305,0.0032098603734034776,0.0002488638452752225,0.003623315235734504,0.000899083933234837,-0.002019507824019552,-0.0021086748747350652,0.003285575444410376,1.0,0.0056918219876336395,0.003163510214548966,-0.001449227951092455,-0.0009169876056602405,0.0003054621342018776,0.0001244617454583838,-0.0015012575868434844,0.0017037677320902629,0.004229180596120811,0.005772480417876432,0.00017337766981766285,0.00025185268119306344,0.0016864025035321366,0.0031493661979252667,0.0011062832676375514,0.0020908574659652458,,,,0.001973684945723675
screen_time,-0.006106456183100977,0.0026669449030080226,-0.0027117467625353033,0.00012610228891008662,-0.0025679249099089347,0.006496042357049311,0.0015170358044197573,-1.3280068556918644e-05,-0.0009184016981321838,-0.005066850662189397,0.005540444702681121,0.0010862785098980329,0.00017999666972840802,-0.0006074744848011191,0.0009926086549356442,-0.0027566566192141193,0.002335183388552868,0.001116106353074799,0.0056918219876336395,1.0,0.0003075535381016499,0.004816007358988686,0.00023028261028320863,-0.003994660766050243,0.002281436862017242,-0.0005780920044165588,-0.0005493462449202406,-0.0014596996322595738,-0.0012294027951100966,0.0019429533060737365,-0.0005750339835285598,-0.003083087422192604,-0.0024496739274247987,0.004992235624498229,0.0032487274368647756,,,,-0.00024879677508989165
stress_level,0.001292673153463491,0.005116426609816645,-0.0064004482614824455,0.00048705263278569095,-0.0004806459568718101,-0.0017291387141748792,-0.002479697401498327,-0.00013336212731871662,0.0012870247596340147,-0.0037924943080241743,-0.0017252252094434478,0.00406854523639966,-0.0030303941965309526,-0.004384095164311026,0.004006982561721896,-0.004023342028165216,0.001459786834790433,6.307167452130626e-05,0.003163510214548966,0.0003075535381016499,1.0,-0.0039597880976212935,-0.002262291242811792,0.013952269857192404,0.0003375584306831874,0.0043650343721228155,-0.00048082051575160464,-0.002040591887288301,-0.0030003996060607514,-0.0035093126338677535,0.0037402317121649035,-0.004153614269684876,-0.0022987613147106554,-0.0006690248904678976,0.0006511307583440525,,,,0.0007671739157011876
mental_health_score,0.0018686133717622135,-3.5508236691610416e-05,0.0008034300635262261,-0.004956172136928398,-0.001441499887786247,-0.0006494596955323446,0.0035361503885598614,0.0003257003703944047,-0.005730488015833451,0.0005210939752911212,-0.0019910764000544245,0.0010048466423526097,-0.0056900229109912,-0.0007411461364986196,0.005307666402477354,0.0028149183058966904,-0.0028090150188655,0.002445472305108513,-0.001449227951092455,0.004816007358988686,-0.0039597880976212935,1.0,-0.004756412581876465,0.0016463946449882065,-0.004277940555463263,0.004347726452160838,0.0023145860380840455,-0.001106860268017463,-0.002704743495897743,-1.2743534386118286e-05,-0.002778369817207266,0.0028837205646618813,-0.0038966577633772034,0.0005798767790353203,-0.0009119782858459577,,,,-0.0013602304298941147
mental_health_support,0.005722934034587348,-0.0029145252612411622,-0.00025317901336059266,-0.0008554696764232031,0.0003983631148278508,0.004537909584994341,-0.0009954430578693592,0.0051887154871266255,-0.001462440740122062,0.0045844279675201684,-0.000489054778344151,0.0003680082492607396,0.003940568239002372,-0.0018949426354895602,0.0011978718276622737,0.002673673824875942,-0.0015474559463647857,0.0035215149273762803,-0.0009169876056602405,0.00023028261028320863,-0.002262291242811792,-0.004756412581876465,1.0,-0.0021414033254000308,0.0015314023354400992,0.000194692497765624,-0.0022327451516652324,-0.002769837720003003,-0.001121560087341735,0.0023102659708198387,-0.0039349864345911475,0.0013580341954605127,0.002726466222395746,-0.0021377179176333685,0.00041363803135367424,,,,0.001677509606119392
education_level,0.004237114203771311,0.0022365643510915537,-0.0013242272411830563,-0.0016420433059274706,0.003073351129313723,0.003556858135011387,-0.0035607091650772635,0.004684790174345357,-0.0028117072553556287,-0.0022777377530634486,0.005781961256268147,-0.004794658050768339,-0.0004595858411863992,0.003599877073786687,0.0023010650040170195,0.0021616002732225037,-0.003415591212426189,0.000659798407709637,0.0003054621342018776,-0.003994660766050243,0.013952269857192404,0.0016463946449882065,-0.0021414033254000308,1.0,-0.0023765285344748595,0.001850411046199158,0.002055748709779589,-0.00835883255058265,0.0005456441338087474,0.003108458547448879,0.00020353965210766022,-0.0013029188049878116,0.0002437319612408049,0.0028739638639530803,0.0030284773083784715,,,,-0.0015533924944033414
job_type,-0.005771490861032602,-0.0013329672505921159,-0.0020861083861976565,0.001565038743770112,-0.0012977268665145464,-0.0011562183200601699,0.001528473049357244,-0.003161736957329446,-0.0009729927261583399,0.00028796446365338764,0.0016812356894807955,-0.007640319372175477,-0.00029746779947314127,0.001350843969756877,-0.0027744511041476187,-0.0038524515119399277,0.002665139980344194,-0.005318557122483125,0.0001244617454583838,0.002281436862017242,0.0003375584306831874,-0.004277940555463263,0.0015314023354400992,-0.0023765285344748595,1.0,-0.0008249413266942059,-0.003237338449259894,0.0016562916972798888,0.0007252180742011582,-0.0016507150937172695,0.001707260665224175,-0.0010398337248719949,0.00258042132581494,-0.0010791419705043475,-0.0006521312767917762,,,,-0.003513237318226421
occupation,0.002135553791571258,0.003211191176350118,-0.002260600546142532,-0.00017747077349744152,-0.0007886122379410279,-0.00019704442429703092,-0.0011575505162664285,-1.9502636487739088e-05,-0.0060734564798628835,-0.004356875731207531,-0.0010807154733269459,-0.0004165452340928079,-0.005564732127791244,-0.005661542779685608,0.002166445776142847,0.004847401324031228,0.00036273596299396234,-0.00034411870781338676,-0.0015012575868434844,-0.0005780920044165588,0.0043650343721228155,0.004347726452160838,0.000194692497765624,0.001850411046199158,-0.0008249413266942059,1.0,0.0063481724217689045,-0.0030116174291345494,0.0036746247590274356,0.000186071712256448,0.004538713006492578,0.002017386567573221,-0.004277389806966614,-0.0004365286971534527,0.008295089019491692,,,,-0.0015456501184690401
income,0.002440032608085767,-0.0004773004497781775,-0.0059652022164777335,0.002853289805456305,0.00352628903541224,-0.0030651251267296083,-0.0017257410147706407,0.0031559948952232055,-0.0017941326545343969,0.00211456080775297,0.0006234087843321707,0.0016042195675682056,4.8073838600868216e-05,0.0012753065601837038,0.0026198848125159628,0.003030767768409867,-0.0019309744486847703,-0.004267169693801412,0.0017037677320902629,-0.0005493462449202406,-0.00048082051575160464,0.0023145860380840455,-0.0022327451516652324,0.002055748709779589,-0.003237338449259894,0.0063481724217689045,1.0,-0.0030961547164403426,-0.005109102026533274,0.0035028096365314677,-9.155783933075269e-05,0.0009195264697601498,0.0024495688888911717,0.0010408845971225133,-0.001796751315712914,,,,-0.0001986095129817025
diet_type,-0.0004563735234749944,0.003251607274205165,-0.0033579783539315474,-0.0007985611650206579,-0.0035033491309529826,-0.003217273012319727,-3.0288762633474562e-05,0.0001054405772745117,-0.00040614651067958187,0.0021549542695464136,-0.003855550501782097,-0.004944316933345121,0.0002166071040658662,0.003982652422672523,-0.0012203265743960861,0.0035856321057378794,-0.005057493496413193,0.003611858069330346,0.004229180596120811,-0.0014596996322595738,-0.002040591887288301,-0.001106860268017463,-0.002769837720003003,-0.00835883255058265,0.0016562916972798888,-0.0030116174291345494,-0.0030961547164403426,1.0,0.00580774419797845,-0.009191526174874209,0.00351223500242811,0.0021692888930045762,0.002055124898994495,-0.0024678762122892894,0.0006473109778153991,,,,-0.0013208442809291919
device_usage,0.00030565423839031745,0.0011237609479218373,0.0045447330347729445,0.0017516036571073557,-0.004558186787836572,0.0006206307848421316,0.005041665698390819,-0.0014130963959015517,-0.00428475035427693,0.00015168950261565089,0.0060514075402827465,-0.0018944657253761909,-0.002701767260905265,-0.006195592096148748,-0.0005604718089340514,-0.004340635164302636,0.004560664626504927,-0.001612544545877851,0.005772480417876432,-0.0012294027951100966,-0.0030003996060607514,-0.002704743495897743,-0.001121560087341735,0.0005456441338087474,0.0007252180742011582,0.0036746247590274356,-0.005109102026533274,0.00580774419797845,1.0,0.003767830053814729,-0.009595029470782552,-0.001962199346552031,-0.001110500401929493,0.0024390944753341403,-0.0033277292015262997,,,,0.001229598811779217
healthcare_access,-0.0004884631275461224,-0.0005460987255442215,-0.004354987852288145,0.0030864949321767017,0.006868360908020052,0.003299205124123177,-0.0006063222297395543,-0.002531192981233083,0.00595495487934555,-0.003275858552342663,-0.0015020598609909734,0.0038360172045288385,-0.0012724963834413803,0.0004748065872282718,0.005837474276301829,0.00012343904202698954,0.0007511235743186459,-0.0008670987083588955,0.00017337766981766285,0.0019429533060737365,-0.0035093126338677535,-1.2743534386118286e-05,0.0023102659708198387,0.003108458547448879,-0.0016507150937172695,0.000186071712256448,0.0035028096365314677,-0.009191526174874209,0.003767830053814729,1.0,0.0044000651243325285,-0.0006671100467612591,0.0022917227792544274,0.006821918006401685,-9.136551741423672e-05,,,,0.003739951413532394
insurance,-0.002810082555861979,-0.00074639358662218,-0.005477213862371725,0.0010488544341671535,0.0052338045397515446,0.0011199079719450321,-0.0016230070696736962,-0.0005575330248782433,-0.00016375549643027096,0.003158740731212188,-0.002401825278599235,0.00017960318530180723,0.0006604791506727531,-0.006477658683561296,0.0005517032477137027,-0.0011112484674788475,0.003810221665984566,0.0005472063918318896,0.00025185268119306344,-0.0005750339835285598,0.0037402317121649035,-0.002778369817207266,-0.0039349864345911475,0.00020353965210766022,0.001707260665224175,0.004538713006492578,-9.155783933075269e-05,0.00351223500242811,-0.009595029470782552,0.0044000651243325285,1.0,0.0018770623108050242,-0.004874913157207098,-0.003962676000937548,0.003047428390934684,,,,0.0009035036969692112
sunlight_exposure,-0.0030519312900386193,0.004279026619507251,-0.0047021591284506885,0.0008566626774279346,0.004298652292394543,0.0021321905346658597,0.0021345058162609135,0.0008664736653014074,-0.0011812567840620927,0.0006936784910400782,0.0006697322316484789,-0.0003885241047031321,-0.0006000511868546093,0.004438735843340648,-0.003893887473822577,0.0027666035371355802,0.004003743867461263,0.003958965330719353,0.0016864025035321366,-0.003083087422192604,-0.004153614269684876,0.0028837205646618813,0.0013580341954605127,-0.0013029188049878116,-0.0010398337248719949,0.002017386567573221,0.0009195264697601498,0.0021692888930045762,-0.001962199346552031,-0.0006671100467612591,0.0018770623108050242,1.0,-0.004398041754688378,0.0022998847324966322,0.001558643434513049,,,,0.00041884118077024847
meals_per_day,-0.001709763078240517,0.007240295560899219,0.002371959248488909,-0.0043817751229590605,-0.002787053259303815,0.001184931217493911,-0.0009137703710932135,-0.002005747006763244,0.0013453418342991704,-0.002145791871843531,-0.0017860758276399126,-0.004738321581412038,-0.004172082211966679,0.0007028751681549713,-0.0023429479300828247,-0.0041852698836736665,-0.0025099150722411316,0.0021761807156876114,0.0031493661979252667,-0.0024496739274247987,-0.0022987613147106554,-0.0038966577633772034,0.002726466222395746,0.0002437319612408049,0.00258042132581494,-0.004277389806966614,0.0024495688888911717,0.002055124898994495,-0.001110500401929493,0.0022917227792544274,-0.004874913157207098,-0.004398041754688378,1.0,-0.005130553019999096,0.001948075967411301,,,,0.0029136134711950784
family_history,0.0005798403167623739,0.0034171099753106285,-0.003351421945987575,-0.0025857105744625415,-0.002602959429464103,-0.0008756533117610587,0.003423066996803252,0.004357440240459699,0.0019875107941411158,-0.0026639404606541794,-0.002023379887399749,-2.257133423210614e-05,0.002423996319149007,0.004973590324968076,6.583383281752653e-05,-0.007725159022875998,-0.0013662937318496252,-0.002343070779866533,0.0011062832676375514,0.004992235624498229,-0.0006690248904678976,0.0005798767790353203,-0.0021377179176333685,0.0028739638639530803,-0.0010791419705043475,-0.0004365286971534527,0.0010408845971225133,-0.0024678762122892894,0.0024390944753341403,0.006821918006401685,-0.003962676000937548,0.0022998847324966322,-0.005130553019999096,1.0,-0.005836664857328215,,,,-0.00013338277598569302
pet_owner,0.001611236232275292,-0.003691951750695792,7.51614125908807e-05,0.004096606924306904,-0.002011741656214014,-0.000988704389805112,0.006229483777519961,0.0031860831799076237,-0.004384777322796783,-0.0024724247282797217,-0.0008489520698989336,0.00033731619178080147,0.0033111696091707374,0.0014727732427690999,-0.0006683890861368801,0.00625981644744202,-0.0009118346963952254,-0.0018943307529224406,0.0020908574659652458,0.0032487274368647756,0.0006511307583440525,-0.0009119782858459577,0.00041363803135367424,0.0030284773083784715,-0.0006521312767917762,0.008295089019491692,-0.001796751315712914,0.0006473109778153991,-0.0033277292015262997,-9.136551741423672e-05,0.003047428390934684,0.001558643434513049,0.001948075967411301,-0.005836664857328215,1.0,,,,-9.835903153868406e-05
electrolyte_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gene_marker_flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
environmental_risk_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target,-0.006951084854237443,0.0009161433502099905,0.0013996745677445296,-0.0024778212029552237,-0.00031678681072954307,0.0027642442620145753,7.843716047441576e-05,-0.0014669146143393048,-0.0005246422809950201,-0.0003385976041028804,-0.0017116605842931777,-0.0022666159719087046,0.011072886471801203,0.0013278559527816222,0.004855961341661402,0.00018100808469276297,0.00021332473849899113,0.0015783945103773076,0.001973684945723675,-0.00024879677508989165,0.0007671739157011876,-0.0013602304298941147,0.001677509606119392,-0.0015533924944033414,-0.003513237318226421,-0.0015456501184690401,-0.0001986095129817025,-0.0013208442809291919,0.001229598811779217,0.003739951413532394,0.0009035036969692112,0.00041884118077024847,0.0029136134711950784,-0.00013338277598569302,-9.835903153868406e-05,,,,1.0
